Index;ID;Lat;Lon;Elv;Yr1;YrEnd;Yrs;Name;Prov;Fit
717;8300301;46.28;-63.11;50;1967;2016;31;CHARLOTTETOWN A;PE;Lin
718;8300418;46.46;-61.98;7;2004;2024;16;EAST POINT (AUT);PE;Lin
719;8300516;47.05;-63.99;7;2004;2016;12;NORTH CAPE;PE;Lin
720;8300562;46.45;-62.57;29;2004;2024;17;ST. PETERS;PE;Lin
721;8300596;46.44;-63.83;12;1964;2024;46;SUMMERSIDE;PE;Lin
722;8305500;46.3;-63.57;45;2002;2018;13;MAPLE PLAINS;PE;Lin
723;830P001;46.34;-63.16;53;2000;2024;25;HARRINGTON CDA CS;PE;Lin
724;8400104;47.31;-53.99;9;1980;2024;19;ARGENTIA (AUT);NL;Lin
725;8400301;48.96;-56.06;102;2005;2024;18;BADGER (AUT);NL;Lin
726;8400601;48.66;-53.11;25;2006;2024;16;BONAVISTA;NL;Lin
727;8400801;47.61;-57.61;10;1967;2024;40;BURGEO NL;NL;Lin
728;8401259;49.26;-54.88;99;1967;1995;27;COMFORT COVE;NL;Lin
729;8401295;49.32;-57.39;165;2013;2024;10;CORMACK RCS;NL;Lin
730;8401400;50.23;-57.58;19;1969;1995;26;DANIELS HARBOUR;NL;Lin
731;8401501;49.21;-57.4;21;1966;2002;36;DEER LAKE A;NL;Lin
732;8401538;50.72;-56.11;30;2004;2016;10;ENGLEE (AUT);NL;Lin
733;8401705;48.94;-54.56;151;1939;2023;74;GANDER AIRPORT CS;NL;Lin
734;8402520;49.91;-55.66;194;1984;2024;14;LA SCIE;NL;Lin
735;8402757;48.81;-56.54;203;2013;2024;10;MILLERTOWN RCS;NL;Lin
736;8402980;47.57;-59.15;39;1975;2023;24;PORT AUX BASQUES;NL;Lin
737;8403290;47.86;-55.85;13;1969;1983;14;ST ALBANS;NL;Lin
738;8403401;51.36;-55.6;11;1971;1995;23;ST ANTHONY;NL;Lin
739;8403506;47.62;-52.74;140;1949;1996;35;ST JOHN'S A;NL;Lin
740;8403603;47.51;-52.78;110;2010;2024;12;ST JOHN'S WEST CLIMATE;NL;Lin
741;8403619;46.91;-55.38;48;1969;2024;41;ST LAWRENCE;NL;Lin
742;8403820;48.56;-58.56;58;1967;2024;54;STEPHENVILLE RCS;NL;Lin
743;8403851;48.55;-53.97;106;1990;2024;11;TERRA NOVA NAT PARK CS;NL;Lin
744;8404025;49.68;-54.8;92;2004;2024;20;TWILLINGATE (AUT);NL;Lin
745;8404343;47.71;-59.3;31;2007;2024;11;WRECKHOUSE;NL;Poly
746;8500398;52.25;-55.6;9;1972;1983;11;BATTLE HARBOUR LOR;NL;Lin
747;8501136;53.55;-64.09;439;1969;2024;24;CHURCHILL FALLS;NL;Lin
748;8501915;53.4;-60.56;38;1961;2024;57;HAPPY VALLEY GOOSE BAY;NL;Lin
749;8502400;55.45;-60.21;11;2005;2024;15;HOPEDALE (AUT);NL;Lin
750;8502591;52.3;-55.83;10;1983;1995;12;MARY S HARBOUR A;NL;Lin
751;8502799;56.55;-61.68;7;1993;2024;25;NAIN;NL;Lin
752;8504175;52.92;-66.87;551;1974;2003;25;WABUSH LAKE A;NL;Lin
